scrape_date,platform,market,currency,tier_name,fee_amount,fee_period,prop_value_min,prop_value_max,location_note,hybrid_note
2026-03-04,trade_me,NZ,NZD,Standard (≤$450k RV),99,per_listing,,450000,,Rateable value threshold
2026-03-04,trade_me,NZ,NZD,Premium (>$450k RV),159,per_listing,450001,,,Rateable value threshold
2026-03-05,trade_me,NZ,NZD,Standard (≤$450k RV),99,per_listing,,450000,,Rateable value threshold
2026-03-05,trade_me,NZ,NZD,Premium (>$450k RV),159,per_listing,450001,,,Rateable value threshold
2026-03-09,trade_me,NZ,NZD,Standard (≤$450k RV),99,per_listing,,450000,,Rateable value threshold
2026-03-09,trade_me,NZ,NZD,Premium (>$450k RV),159,per_listing,450001,,,Rateable value threshold
2026-03-16,trade_me,NZ,NZD,Standard (≤$450k RV),99,per_listing,,450000,,Rateable value threshold
2026-03-16,trade_me,NZ,NZD,Premium (>$450k RV),159,per_listing,450001,,,Rateable value threshold
2026-03-23,trade_me,NZ,NZD,Standard (≤$450k RV),99,per_listing,,450000,,Rateable value threshold
2026-03-23,trade_me,NZ,NZD,Premium (>$450k RV),159,per_listing,450001,,,Rateable value threshold
2026-03-30,trade_me,NZ,NZD,Standard (≤$450k RV),99,per_listing,,450000,,Rateable value threshold
2026-03-30,trade_me,NZ,NZD,Premium (>$450k RV),159,per_listing,450001,,,Rateable value threshold
2026-04-06,trade_me,NZ,NZD,Standard (≤$450k RV),99,per_listing,,450000,,Rateable value threshold
2026-04-06,trade_me,NZ,NZD,Premium (>$450k RV),159,per_listing,450001,,,Rateable value threshold
2026-04-13,trade_me,NZ,NZD,Standard (≤$450k RV),99,per_listing,,450000,,Rateable value threshold
2026-04-13,trade_me,NZ,NZD,Premium (>$450k RV),159,per_listing,450001,,,Rateable value threshold
2026-04-20,trade_me,NZ,NZD,Standard (≤$450k RV),99,per_listing,,450000,,Rateable value threshold
2026-04-20,trade_me,NZ,NZD,Premium (>$450k RV),159,per_listing,450001,,,Rateable value threshold
2026-04-27,trade_me,NZ,NZD,Standard (≤$450k RV),99,per_listing,,450000,,Rateable value threshold
2026-04-27,trade_me,NZ,NZD,Premium (>$450k RV),159,per_listing,450001,,,Rateable value threshold
2026-05-04,trade_me,NZ,NZD,Standard (≤$450k RV),99,per_listing,,450000,,Rateable value threshold
2026-05-04,trade_me,NZ,NZD,Premium (>$450k RV),159,per_listing,450001,,,Rateable value threshold
2026-05-11,trade_me,NZ,NZD,Standard (≤$450k RV),99,per_listing,,450000,,Rateable value threshold
2026-05-11,trade_me,NZ,NZD,Premium (>$450k RV),159,per_listing,450001,,,Rateable value threshold
